id,price,number_of_reviews,last_review,neighbourhood,name,availability_365,host_id,room_type,latitude,longitude,coords,pais
45383976,91,20,2023-08-29,Belize Islands,Rental unit in Caye Caulker · ★4.15 · Studio · 1 bed · 1 bath,359,76414486,Entire home/apt,17.7359,-88.02874,"17.7359,-88.02874",Belize
45383978,554,7,2023-08-17,Belize Islands,Condo in San Pedro · ★4.43 · 3 bedrooms · 4 beds · 0 baths,364,76414486,Entire home/apt,17.89181,-87.97967,"17.89181,-87.97967",Belize
45383981,181,0,,Cayo,Rental unit in San Ignacio · 1 bedroom · 1 bed · 0 baths,364,76414486,Entire home/apt,17.14391,-89.07887,"17.14391,-89.07887",Belize
45383984,93,26,2023-08-31,Belize Islands,Rental unit in Caye Caulker · ★4.65 · Studio · 1 bed · 1 bath,348,76414486,Entire home/apt,17.7364,-88.02942,"17.7364,-88.02942",Belize
45383987,177,2,2023-07-19,Stann Creek Mainland,Bungalow in Dangriga · 1 bedroom · 1 bed · 1 bath,364,76414486,Entire home/apt,16.79021,-88.30637,"16.79021,-88.30637",Belize
45383988,127,0,,Belize Islands,Home in Belize · 1 bedroom · 2 beds · 1 private bath,364,76414486,Private room,17.73749890729075,-88.03000690158419,"17.73749890729075,-88.03000690158419",Belize
45383990,276,3,2023-03-08,Belize Islands,Rental unit in Caye Caulker · ★4.67 · 3 bedrooms · 3 beds · 3 baths,364,76414486,Entire home/apt,17.738189802560214,-88.02940951712984,"17.738189802560214,-88.02940951712984",Belize
45383992,153,0,,Stann Creek Mainland,Rental unit in Alta Vista · Studio · 2 beds · 1 bath,364,76414486,Entire home/apt,16.9812,-88.28993,"16.9812,-88.28993",Belize
45383995,167,1,2021-05-26,Cayo,Home in Bullet Tree Falls · Studio · 1 bed · 1 private bath,364,76414486,Private room,17.16615,-89.11943,"17.16615,-89.11943",Belize
45383998,806,2,2023-01-17,Cayo,Home in San Ignacio · 3 bedrooms · 4 beds · 2.5 baths,364,76414486,Entire home/apt,17.14688,-89.07394,"17.14688,-89.07394",Belize
45383999,633,0,,Stann Creek Mainland,Cabin in Placencia · 4 bedrooms · 7 beds · 4 baths,364,76414486,Entire home/apt,16.51477,-88.36867,"16.51477,-88.36867",Belize
45384000,202,15,2023-04-26,Belize Islands,Condo in San Pedro · ★4.73 · 1 bedroom · 2 beds · 0 baths,359,76414486,Entire home/apt,17.90533,-87.97996,"17.90533,-87.97996",Belize
45384002,268,2,2022-07-29,Belize Islands,Cottage in Belize · 2 bedrooms · 2 beds · 0 baths,364,76414486,Entire home/apt,17.73613,-88.02971,"17.73613,-88.02971",Belize
45384004,151,7,2022-12-26,Cayo,Rental unit in San Ignacio · ★4.86 · 2 bedrooms · 3 beds · 1.5 baths,363,76414486,Entire home/apt,17.14612,-89.09225,"17.14612,-89.09225",Belize
45384005,244,8,2023-04-30,Belize Islands,Condo in San Pedro · ★4.38 · 2 bedrooms · 2 beds · 2 baths,364,76414486,Entire home/apt,17.9337,-87.95502,"17.9337,-87.95502",Belize
45384007,93,38,2023-09-01,Belize Islands,Rental unit in Caye Caulker · ★4.53 · 1 bedroom · 1 bed · 0 baths,365,76414486,Entire home/apt,17.73657,-88.02959,"17.73657,-88.02959",Belize
45384008,238,20,2023-09-01,Belize Islands,Condo in San Pedro · ★4.40 · 2 bedrooms · 2 beds · 2 baths,355,76414486,Entire home/apt,17.93512,-87.95674,"17.93512,-87.95674",Belize
45384010,901,13,2023-03-20,Stann Creek Mainland,Villa in Placencia · ★4.77 · 4 bedrooms · 4 beds · 4 baths,360,76414486,Entire home/apt,16.60088,-88.35559,"16.60088,-88.35559",Belize
45384017,224,0,,Stann Creek Mainland,Rental unit in Alta Vista · Studio · 1 bed · 1 bath,364,76414486,Entire home/apt,16.98252,-88.28923,"16.98252,-88.28923",Belize
45384028,401,0,,Belize Islands,Home in San Pedro · 2 bedrooms · 2 beds,364,76414486,Private room,17.90867,-87.9741,"17.90867,-87.9741",Belize
45384031,605,1,2021-02-27,Stann Creek Mainland,Villa in Seine Bight · 2 bedrooms · 5 beds · 0 baths,364,76414486,Entire home/apt,16.62373,-88.35243,"16.62373,-88.35243",Belize
45384032,715,26,2023-08-13,Cayo,Home in Santa Elena · ★4.58 · 5 bedrooms · 6 beds · 0 baths,364,76414486,Entire home/apt,17.16237,-89.05127,"17.16237,-89.05127",Belize
45384036,236,8,2023-02-14,Belize Islands,Condo in San Pedro · ★4.75 · 1 bedroom · 2 beds · 0 baths,365,76414486,Entire home/apt,17.89187,-87.98041,"17.89187,-87.98041",Belize
45401061,355,1,2022-02-23,Belize Islands,Rental unit in San Pedro · 2 bedrooms · 3 beds · 1 bath,364,76414486,Entire home/apt,17.92701,-87.95946,"17.92701,-87.95946",Belize
