id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
925976753476717872,Villa in Placencia · 3 bedrooms · 5 beds · 4 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.54561,-88.357262,Entire home/apt,649,2,1,2023-09-01,1,62,109,1,
927612456871253890,Home in Caye Caulker · 2 bedrooms · 3 beds · 1.5 baths,13100806,Velento,Belize,Belize Islands,17.736396111282012,-88.02655161639406,Entire home/apt,200,1,1,2023-07-23,0.48,19,230,1,
928326890308680949,Villa in Placencia · 2 bedrooms · 4 beds · 2 baths,477698500,Stephanie,Stann Creek,Stann Creek Mainland,16.64129849,-88.32571614,Entire home/apt,583,2,2,2023-09-02,1.09,2,289,2,
928922034107907107,Guesthouse in Georgeville · 1 bedroom · 1 bed · 1 bath,465233556,Stephen,Cayo,Cayo,17.166628592795362,-88.96729255081597,Entire home/apt,119,3,0,,,1,364,0,
928986429014030573,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,523905732,Pur,Belize,Belize Islands,17.940826014908126,-87.94892372695311,Entire home/apt,287,1,0,,,7,355,0,
929008427468407993,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,523905732,Pur,Belize,Belize Islands,17.940744357704652,-87.94897458365396,Entire home/apt,287,1,0,,,7,355,0,
929024044883772014,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,523905732,Pur,Belize,Belize Islands,17.94092808635946,-87.94883789626464,Entire home/apt,286,1,0,,,7,355,0,
929051381293424303,Guesthouse in San Pedro · 3 bedrooms · 5 beds · 2 baths,523905732,Pur,Belize,Belize Islands,17.941119562271076,-87.94759335128172,Entire home/apt,802,1,2,2023-08-14,0.78,7,344,2,
929090764004880356,Rental unit in Bullet Tree Falls · 1 bedroom · 1 bed · 1 bath,136017913,Joe,Cayo,Cayo,17.173440707904838,-89.10684677459106,Entire home/apt,202,1,1,2023-07-17,0.43,5,365,1,
929121416037528585,Home in Bullet Tree Falls · 1 bedroom · 2 beds · 2 baths,136017913,Joe,Cayo,Cayo,17.172722958383517,-89.10735108813033,Entire home/apt,252,1,0,,,5,333,0,
929621264687224886,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,523905732,Pur,Belize,Belize Islands,17.940866843495726,-87.94881643859252,Entire home/apt,301,1,0,,,7,342,0,
929624436732728590,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,523905732,Pur,Belize,Belize Islands,17.94094708475202,-87.94886020315725,Entire home/apt,301,1,0,,,7,355,0,
929628548501262848,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,523905732,Pur,Belize,Belize Islands,17.940744357704652,-87.94890226928099,Entire home/apt,301,1,0,,,7,352,0,
929782085039807245,Home in Caye Caulker · 1 bedroom · 2 beds · 1 bath,13100806,Velento,Belize,Belize Islands,17.735666511074562,-88.02802843451894,Entire home/apt,143,1,1,2023-07-15,0.42,19,271,1,
